rank	feature_id	instability_count	instability_conditions	mean_SSI	mean_stability_deviation	max_stability_deviation
226	RvY_01023	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
227	RvY_01697-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
228	RvY_02061-1	3	des;gam;uv	0.7410714285714286	0.25892857142857145	0.625
229	RvY_02389-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
230	RvY_02935-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
231	RvY_03436	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
232	RvY_03512-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
233	RvY_04421-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
234	RvY_07001-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
235	RvY_08329-1	3	des;gam;uv	0.7410714285714286	0.25892857142857145	0.625
236	RvY_09345-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
237	RvY_10514-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
238	RvY_13021-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
239	RvY_13645	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
240	RvY_15368-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
241	RvY_15371-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
242	RvY_16809-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
243	RvY_17692	3	des;gam;uv	0.7410714285714286	0.25892857142857145	0.625
244	RvY_18016-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
245	RvY_18545-1	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
246	RvY_18565	3	des;lt;uv	0.7410714285714286	0.25892857142857145	0.5
247	RvY_00170-1	3	gam;lt;uv	0.75	0.25	0.5
248	RvY_00650-1	3	gam;lt;uv	0.75	0.25	0.5
249	RvY_01057	3	des;gam;uv	0.75	0.25	0.5
250	RvY_01264	3	des;gam;uv	0.75	0.25	0.5
251	RvY_01754-1	3	des;gam;uv	0.75	0.25	0.5
252	RvY_01973-1	3	des;gam;uv	0.75	0.25	0.5
253	RvY_02896-1	3	des;gam;uv	0.75	0.25	0.5
254	RvY_03764-1	3	des;gam;lt	0.75	0.25	0.5
255	RvY_03788	3	des;gam;uv	0.75	0.25	0.5
256	RvY_04200	3	des;gam;lt	0.75	0.25	0.5
257	RvY_04692-1	3	des;gam;uv	0.75	0.25	0.5
258	RvY_05424	3	des;gam;uv	0.75	0.25	0.5
259	RvY_05714-1	3	des;gam;uv	0.75	0.25	0.5
260	RvY_05718-1	3	des;gam;uv	0.75	0.25	0.5
261	RvY_05775-1	3	des;gam;uv	0.75	0.25	0.5
262	RvY_05789-1	3	des;gam;uv	0.75	0.25	0.5
263	RvY_06011	3	gam;lt;uv	0.75	0.25	0.5
264	RvY_06020-1	3	des;gam;uv	0.75	0.25	0.5
265	RvY_06509-1	3	des;gam;uv	0.75	0.25	0.5
266	RvY_06655-1	3	des;lt;uv	0.75	0.25	0.5
267	RvY_06663-1	3	des;gam;uv	0.75	0.25	0.5
268	RvY_07256-1	3	des;gam;uv	0.75	0.25	0.5
269	RvY_07364-1	3	des;gam;uv	0.75	0.25	0.5
270	RvY_07395-1	3	des;gam;uv	0.75	0.25	0.5
271	RvY_07465-1	3	des;lt;uv	0.75	0.25	0.5
272	RvY_07805-1	3	des;lt;uv	0.75	0.25	0.5
273	RvY_08630-1	3	des;lt;uv	0.75	0.25	0.5
274	RvY_08661-1	3	des;gam;lt	0.75	0.25	0.5
275	RvY_08703-1	3	des;gam;uv	0.75	0.25	0.5
276	RvY_08870-1	3	des;gam;uv	0.75	0.25	0.5
277	RvY_09501-1	3	des;gam;uv	0.75	0.25	0.5
278	RvY_09594	3	des;lt;uv	0.75	0.25	0.5
279	RvY_09725-1	3	des;gam;uv	0.75	0.25	0.5
280	RvY_09764-1	3	des;gam;uv	0.75	0.25	0.5
281	RvY_09793-1	3	des;gam;uv	0.75	0.25	0.5
282	RvY_10138-1	3	des;gam;uv	0.75	0.25	0.5
283	RvY_10174-1	3	des;gam;uv	0.75	0.25	0.5
284	RvY_10223-1	3	des;gam;uv	0.75	0.25	0.5
285	RvY_10291-1	3	des;gam;lt	0.75	0.25	0.5
286	RvY_10356	3	des;gam;uv	0.75	0.25	0.5
287	RvY_11035-1	3	des;gam;uv	0.75	0.25	0.5
288	RvY_11907-1	3	des;lt;uv	0.75	0.25	0.5
289	RvY_12057	3	des;gam;uv	0.75	0.25	0.5
290	RvY_12498	3	des;gam;uv	0.75	0.25	0.5
291	RvY_12668-1	3	des;lt;uv	0.75	0.25	0.5
292	RvY_12785-1	3	des;gam;uv	0.75	0.25	0.5
293	RvY_12886-1	3	des;gam;uv	0.75	0.25	0.5
294	RvY_12902	3	des;gam;uv	0.75	0.25	0.5
295	RvY_12908-1	3	des;lt;uv	0.75	0.25	0.5
296	RvY_12990-1	3	des;gam;uv	0.75	0.25	0.5
297	RvY_13056-1	3	des;gam;uv	0.75	0.25	0.5
298	RvY_13408-1	3	des;gam;uv	0.75	0.25	0.5
299	RvY_13431	3	des;gam;uv	0.75	0.25	0.5
300	RvY_13564	3	des;lt;uv	0.75	0.25	0.5
301	RvY_13635-1	3	des;gam;uv	0.75	0.25	0.5
302	RvY_13930-1	3	des;gam;uv	0.75	0.25	0.5
303	RvY_14283-1	3	des;gam;uv	0.75	0.25	0.5
304	RvY_14453	3	des;gam;uv	0.75	0.25	0.5
305	RvY_14686	3	des;lt;uv	0.75	0.25	0.5
306	RvY_15161-1	3	des;lt;uv	0.75	0.25	0.5
307	RvY_15181-1	3	des;gam;uv	0.75	0.25	0.5
308	RvY_15513-1	3	des;gam;uv	0.75	0.25	0.5
309	RvY_15751	3	des;gam;uv	0.75	0.25	0.5
310	RvY_15923	3	des;gam;uv	0.75	0.25	0.5
311	RvY_16101-1	3	des;lt;uv	0.75	0.25	0.5
312	RvY_16399-1	3	des;gam;uv	0.75	0.25	0.5
313	RvY_16789-1	3	des;gam;uv	0.75	0.25	0.5
314	RvY_16987-1	3	des;gam;uv	0.75	0.25	0.5
315	RvY_17186	3	gam;lt;uv	0.75	0.25	0.5
