condition	feature_id	n_perturbations	n_up	n_down	n_const	p_up	p_down	p_const	dominant_state	ssi	stability_region	signal_class	stability_deviation
DES	RvY_00544-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00545-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00548-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00549-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00552	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00556-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00559-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00560-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00563-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00571	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00576-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00577-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00578-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00595-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00601-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00602-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00608-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00610-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00611	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00612-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00613-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00614-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00615-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00616-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
