redundancy_group_id	representative_term_id	representative_term_name	member_term_ids	member_count	condition	FSF_region	selection_basis
GR_GAM_Stable_0112	GO:0016681	obsolete oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor	GO:0016681	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0113	GO:0016964	alpha-2 macroglobulin receptor activity	GO:0016964	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0114	GO:0018024	obsolete histone lysine N-methyltransferase activity	GO:0018024	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0115	GO:0018130	obsolete heterocycle biosynthetic process	GO:0018130	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0116	GO:0018193	obsolete peptidyl-amino acid modification	GO:0018193	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0117	GO:0018209	obsolete peptidyl-serine modification	GO:0018209	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0118	GO:0018210	obsolete peptidyl-threonine modification	GO:0018210	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0119	GO:0018212	obsolete peptidyl-tyrosine modification	GO:0018212	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0120	GO:0018991	egg-laying behavior	GO:0018991	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0121	GO:0019048	obsolete modulation by virus of host process	GO:0019048	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0122	GO:0019054	obsolete modulation by virus of host cellular process	GO:0019054	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0123	GO:0019220	obsolete regulation of phosphate metabolic process	GO:0019220	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0124	GO:0019233	sensory perception of pain	GO:0007605;GO:0019233;GO:0050954	3	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0125	GO:0019438	obsolete aromatic compound biosynthetic process	GO:0019438	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0126	GO:0019439	obsolete aromatic compound catabolic process	GO:0019439	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0127	GO:0022610	obsolete biological adhesion	GO:0022610	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0128	GO:0022839	monoatomic ion-gated channel activity	GO:0022839	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0129	GO:0030035	microspike assembly	GO:0030035	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0130	GO:0030175	filopodium	GO:0030175	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0131	GO:0030247	polysaccharide binding	GO:0030247	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0132	GO:0030421	defecation	GO:0030421	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0133	GO:0034587	piRNA processing	GO:0030422;GO:0034587	2	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0134	GO:0030867	rough endoplasmic reticulum membrane	GO:0005743;GO:0005789;GO:0019866;GO:0030867;GO:0031965;GO:0031966	6	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0135	GO:0031045	dense core granule	GO:0031045	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0136	GO:0031054	pre-miRNA processing	GO:0031054	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0137	GO:0031056	obsolete regulation of histone modification	GO:0031056	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0138	GO:0031058	obsolete positive regulation of histone modification	GO:0031058	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0139	GO:0031060	obsolete regulation of histone methylation	GO:0031060	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0140	GO:0031062	obsolete positive regulation of histone methylation	GO:0031062	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0141	GO:0031063	obsolete regulation of histone deacetylation	GO:0031063	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0142	GO:0031065	obsolete positive regulation of histone deacetylation	GO:0031065	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0143	GO:0031235	obsolete intrinsic component of the cytoplasmic side of the plasma membrane	GO:0031235	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0144	GO:0031323	obsolete regulation of cellular metabolic process	GO:0031323	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0145	GO:0031324	obsolete negative regulation of cellular metabolic process	GO:0031324	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0146	GO:0031325	obsolete positive regulation of cellular metabolic process	GO:0031325	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0147	GO:0031326	obsolete regulation of cellular biosynthetic process	GO:0031326	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0148	GO:0031327	obsolete negative regulation of cellular biosynthetic process	GO:0031327	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0149	GO:0031328	obsolete positive regulation of cellular biosynthetic process	GO:0031328	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0150	GO:0031329	obsolete regulation of cellular catabolic process	GO:0031329	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0151	GO:0031330	obsolete negative regulation of cellular catabolic process	GO:0031330	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0152	GO:0031331	obsolete positive regulation of cellular catabolic process	GO:0031331	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0153	GO:0031498	obsolete chromatin disassembly	GO:0031498	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0154	GO:0031668	obsolete cellular response to extracellular stimulus	GO:0031668	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0155	GO:0031748	D1 dopamine receptor binding	GO:0031748	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0156	GO:0031901	early endosome membrane	GO:0031901	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0157	GO:0031933	obsolete telomeric heterochromatin	GO:0031933	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0158	GO:0031935	obsolete regulation of chromatin silencing	GO:0031935	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0159	GO:0031937	obsolete positive regulation of chromatin silencing	GO:0031937	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0160	GO:0032029	myosin tail binding	GO:0032029	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0161	GO:0032050	clathrin heavy chain binding	GO:0032050	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0162	GO:0032155	obsolete cell division site part	GO:0032155	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0163	GO:0032287	peripheral nervous system myelin maintenance	GO:0032287;GO:0043217	2	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0164	GO:0032504	obsolete multicellular organism reproduction	GO:0032504	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0165	GO:0032508	obsolete DNA duplex unwinding	GO:0032508	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0166	GO:0032839	dendrite cytoplasm	GO:0032839	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0167	GO:0090322	regulation of superoxide metabolic process	GO:0032928;GO:0032930;GO:0090322	3	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0168	GO:0032990	obsolete cell part morphogenesis	GO:0032990	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0169	GO:0033267	obsolete axon part	GO:0033267	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0170	GO:0033522	obsolete histone H2A ubiquitination	GO:0033522	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0171	GO:0034248	obsolete regulation of amide metabolic process	GO:0034248	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0172	GO:0034249	obsolete negative regulation of amide metabolic process	GO:0034249	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0173	GO:0034250	obsolete positive regulation of amide metabolic process	GO:0034250	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0174	GO:0034401	obsolete chromatin organization involved in regulation of transcription	GO:0034401	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0175	GO:0034508	obsolete centromere complex assembly	GO:0034508	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0176	GO:0034641	obsolete cellular nitrogen compound metabolic process	GO:0034641	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0177	GO:0034645	obsolete cellular macromolecule biosynthetic process	GO:0034645	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0178	GO:0034660	obsolete ncRNA metabolic process	GO:0034660	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0179	GO:0034968	obsolete histone lysine methylation	GO:0034968	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0180	GO:0035004	obsolete phosphatidylinositol 3-kinase activity	GO:0035004	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0181	GO:0035012	obsolete polytene chromosome, telomeric region	GO:0035012	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0182	GO:0035064	obsolete methylated histone binding	GO:0035064	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0183	GO:0035171	lamellocyte differentiation	GO:0035171	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
