evidence_row_id	condition	FSF_region	source	term_id	official_term_name	official_namespace_or_identifier_type	adjusted_p	enrichment_measure	significant_term_count_context	mapping_status	candidate_theme_ids	candidate_themes	theme_assignment_status
SEMANTIC_EVIDENCE_02779	GAM	Stable	GO	GO:0007297	follicle cell of egg chamber migration	biological_process	0.00183943042146135	2.36551584827114	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02780	GAM	Stable	GO	GO:0030496	midbody	cellular_component	0.00184311222479647	2.42782184606042	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02781	GAM	Stable	GO	GO:0004843	cysteine-type deubiquitinase activity	molecular_function	0.00184368875378482	3.66958227744625	3174	mapped	H07	Protein turnover and proteostasis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02782	GAM	Stable	GO	GO:0007367	segment polarity determination	biological_process	0.00184368875378482	3.66958227744625	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02783	GAM	Stable	GO	GO:0042078	germ-line stem cell division	biological_process	0.00184368875378482	3.66958227744625	3174	mapped	H04	Cell cycle and division	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02784	GAM	Stable	GO	GO:0106030	neuron projection fasciculation	biological_process	0.00184368875378482	3.66958227744625	3174	mapped	H10	Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02785	GAM	Stable	GO	GO:1904356	regulation of telomere maintenance via telomere lengthening	biological_process	0.00184368875378482	3.66958227744625	3174	mapped	H03;H13	Broad regulatory and signaling processes; Chromosome and nuclear organization	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02786	GAM	Stable	GO	GO:0010506	regulation of autophagy	biological_process	0.00193608936963495	1.96945470853767	3174	mapped	H07;H13	Broad regulatory and signaling processes; Protein turnover and proteostasis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02787	GAM	Stable	GO	GO:0048713	regulation of oligodendrocyte differentiation	biological_process	0.00194352118938156	5.00897980871413	3174	mapped	H09;H13	Broad regulatory and signaling processes; Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02788	GAM	Stable	GO	GO:2000649	regulation of sodium ion transmembrane transporter activity	biological_process	0.00194352118938156	5.00897980871413	3174	mapped	C01;H13	Broad regulatory and signaling processes; Membrane transport and ion homeostasis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02789	GAM	Stable	GO	GO:0001102	RNA polymerase II-specific DNA-binding transcription factor binding	molecular_function	0.00195236874070663	4.4034987329355	3174	alternate_id	C02;H13	Broad regulatory and signaling processes; RNA processing and expression	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02790	GAM	Stable	GO	GO:0014017	neuroblast fate commitment	biological_process	0.00195236874070663	4.4034987329355	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02791	GAM	Stable	GO	GO:0016318	ommatidial rotation	biological_process	0.00195236874070663	4.4034987329355	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02792	GAM	Stable	GO	GO:0017112	guanyl-nucleotide exchange factor activity	molecular_function	0.00195236874070663	4.4034987329355	3174	alternate_id			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02793	GAM	Stable	GO	GO:0045792	negative regulation of cell size	biological_process	0.00195236874070663	4.4034987329355	3174	mapped	H13	Broad regulatory and signaling processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02794	GAM	Stable	GO	GO:0005200	structural constituent of cytoskeleton	molecular_function	0.00196727620403522	3.18030464045342	3174	mapped	C05	Cytoskeleton and cell motility	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02795	GAM	Stable	GO	GO:0005876	spindle microtubule	cellular_component	0.00196727620403522	3.18030464045342	3174	mapped	C05;H04	Cell cycle and division; Cytoskeleton and cell motility	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02796	GAM	Stable	GO	GO:0034644	cellular response to UV	biological_process	0.00196727620403522	3.18030464045342	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02797	GAM	Stable	GO	GO:0035821	modulation of process of another organism	biological_process	0.00196727620403522	3.18030464045342	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
