condition	feature_id	p_up	p_down	p_const	ssi	dominant_state	stability_region	signal_class
LT	RvY_06961-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06962-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06963-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06965-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_06966-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06967	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06969-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06970-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06971-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06972-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06973-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06974-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06975-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06976	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06977-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06978-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06979-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06980-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06981	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06982-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06983-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06984-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06985	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_06986-1	1	0	0	1	up	Highly Stable	Highly Stable Up
LT	RvY_06987-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06988-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06992-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06997	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06998-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_06999-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07000-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07001-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07002	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07004-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07005-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07006	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07007-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07008	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07009-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
