kegg_id	kegg_identifier_type	kegg_name	kegg_description_if_available	source_version	mapping_status
K01315	KO	PLG	plasminogen [EC:3.4.21.7]	KEGG KO 2026-09-18	mapped
K01316	KO	TMPRSS15, PRSS7	enterokinase [EC:3.4.21.9]	KEGG KO 2026-09-18	mapped
K01317	KO	ACR	acrosin [EC:3.4.21.10]	KEGG KO 2026-09-18	mapped
K01324	KO	KLKB1	plasma kallikrein [EC:3.4.21.34]	KEGG KO 2026-09-18	mapped
K01325	KO	KLK1_2	tissue kallikrein [EC:3.4.21.35]	KEGG KO 2026-09-18	mapped
K01327	KO	ELANE	leukocyte elastase [EC:3.4.21.37]	KEGG KO 2026-09-18	mapped
K01334	KO	CFD	complement factor D [EC:3.4.21.46]	KEGG KO 2026-09-18	mapped
K01341	KO	KEX2	kexin [EC:3.4.21.61]	KEGG KO 2026-09-18	mapped
K01350	KO	PRTN3	myeloblastin [EC:3.4.21.76]	KEGG KO 2026-09-18	mapped
K01362	KO	OVCH	ovochymase [EC:3.4.21.-]	KEGG KO 2026-09-18	mapped
K01363	KO	CTSB	cathepsin B [EC:3.4.22.1]	KEGG KO 2026-09-18	mapped
K01388	KO	MMP1	matrix metalloproteinase-1 (interstitial collagenase) [EC:3.4.24.7]	KEGG KO 2026-09-18	mapped
K01394	KO	MMP3	matrix metalloproteinase-3 (stromelysin 1, progelatinase) [EC:3.4.24.17]	KEGG KO 2026-09-18	mapped
K01396	KO	MMP10	matrix metalloproteinase-10 (stromelysin 2) [EC:3.4.24.22]	KEGG KO 2026-09-18	mapped
K01402	KO	MMP8	matrix metalloproteinase-8 (neutrophil collagenase) [EC:3.4.24.34]	KEGG KO 2026-09-18	mapped
K01413	KO	MMP12	matrix metalloproteinase-12 (macrophage elastase) [EC:3.4.24.65]	KEGG KO 2026-09-18	mapped
K01427	KO	URE	urease [EC:3.5.1.5]	KEGG KO 2026-09-18	mapped
K01441	KO	ACER1_2, ASAH3	alkaline ceramidase [EC:3.5.1.23]	KEGG KO 2026-09-18	mapped
