go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:0044445	GO:0044445	obsolete cytosolic part	cellular_component	obsolete	consider:GO:0005829	releases/2026-07-26	obsolete
GO:0044446	GO:0044446	obsolete intracellular organelle part	cellular_component	obsolete	consider:GO:0043229	releases/2026-07-26	obsolete
GO:0044447	GO:0044447	obsolete axoneme part	cellular_component	obsolete	consider:GO:0005930	releases/2026-07-26	obsolete
GO:0044448	GO:0044448	obsolete cell cortex part	cellular_component	obsolete	consider:GO:0005938	releases/2026-07-26	obsolete
GO:0044449	GO:0044449	obsolete contractile fiber part	cellular_component	obsolete	consider:GO:0043292	releases/2026-07-26	obsolete
GO:0044450	GO:0044450	obsolete microtubule organizing center part	cellular_component	obsolete	consider:GO:0005815	releases/2026-07-26	obsolete
GO:0044451	GO:0044451	obsolete nucleoplasm part	cellular_component	obsolete	consider:GO:0005654	releases/2026-07-26	obsolete
GO:0044452	GO:0044452	obsolete nucleolar part	cellular_component	obsolete	consider:GO:0005730	releases/2026-07-26	obsolete
GO:0044454	GO:0044454	obsolete nuclear chromosome part	cellular_component	obsolete	consider:GO:0000228	releases/2026-07-26	obsolete
GO:0044455	GO:0044455	obsolete mitochondrial membrane part	cellular_component	obsolete	consider:GO:0031966	releases/2026-07-26	obsolete
GO:0044456	GO:0044456	obsolete synapse part	cellular_component	obsolete	consider:GO:0045202	releases/2026-07-26	obsolete
GO:0044459	GO:0044459	obsolete plasma membrane part	cellular_component	obsolete	consider:GO:0005886	releases/2026-07-26	obsolete
GO:0044463	GO:0044463	obsolete cell projection part	cellular_component	obsolete	consider:GO:0042995	releases/2026-07-26	obsolete
GO:0044464	GO:0044464	obsolete cell part	cellular_component	obsolete		releases/2026-07-26	obsolete
GO:0044531	GO:0051709	regulation of killing of cells of another organism	biological_process	current		releases/2026-07-26	alternate_id
GO:0044532	GO:0044532	obsolete modulation of apoptotic process in another organism	biological_process	obsolete	consider:GO:0052150	releases/2026-07-26	obsolete
GO:0044648	GO:0044648	obsolete histone H3-K4 dimethylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0044728	GO:0044728	obsolete DNA methylation or demethylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0044766	GO:0044766	obsolete multi-organism transport	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0044783	GO:0031571	mitotic G1 DNA damage checkpoint signaling	biological_process	current		releases/2026-07-26	alternate_id
GO:0044789	GO:0044789	obsolete modulation by host of viral release from host cell	biological_process	obsolete	replaced_by:GO:0019076	releases/2026-07-26	obsolete
GO:0044791	GO:0044791	obsolete positive regulation by host of viral release from host cell	biological_process	obsolete	replaced_by:GO:0019076	releases/2026-07-26	obsolete
GO:0044798	GO:0005667	transcription regulator complex	cellular_component	current		releases/2026-07-26	alternate_id
GO:0044815	GO:0044815	obsolete DNA packaging complex	cellular_component	obsolete		releases/2026-07-26	obsolete
GO:0045261	GO:0045261	obsolete proton-transporting ATP synthase complex, catalytic core F(1)	cellular_component	obsolete	replaced_by:GO:0045259	releases/2026-07-26	obsolete
GO:0045263	GO:0045263	obsolete proton-transporting ATP synthase complex, coupling factor F(o)	cellular_component	obsolete	replaced_by:GO:0045259	releases/2026-07-26	obsolete
GO:0045495	GO:0045495	obsolete pole plasm	cellular_component	obsolete	replaced_by:GO:0060293	releases/2026-07-26	obsolete
GO:0045935	GO:0045935	obsolete positive regulation of nucleobase-containing compound metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0046466	GO:0046466	obsolete membrane lipid catabolic process	biological_process	obsolete	replaced_by:GO:0016042	releases/2026-07-26	obsolete
GO:0046483	GO:0046483	obsolete heterocycle metabolic process	biological_process	obsolete	replaced_by:GO:0008152	releases/2026-07-26	obsolete
GO:0046700	GO:0046700	obsolete heterocycle catabolic process	biological_process	obsolete	replaced_by:GO:0009056	releases/2026-07-26	obsolete
GO:0046916	GO:0046916	obsolete intracellular transition metal ion homeostasis	biological_process	obsolete	replaced_by:GO:0030003	releases/2026-07-26	obsolete
GO:0047485	GO:0047485	obsolete protein N-terminus binding	molecular_function	obsolete	replaced_by:GO:0005515	releases/2026-07-26	obsolete
GO:0048016	GO:0048016	obsolete inositol phosphate-mediated signaling	biological_process	obsolete	consider:GO:0019722;GO:0043491	releases/2026-07-26	obsolete
GO:0048037	GO:0048037	obsolete cofactor binding	molecular_function	obsolete		releases/2026-07-26	obsolete
GO:0048096	GO:0045815	transcription initiation-coupled chromatin remodeling	biological_process	current		releases/2026-07-26	alternate_id
GO:0048365	GO:0031267	small GTPase binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0048563	GO:0048563	obsolete post-embryonic animal organ morphogenesis	biological_process	obsolete	replaced_by:GO:0009887	releases/2026-07-26	obsolete
GO:0048569	GO:0048569	obsolete post-embryonic animal organ development	biological_process	obsolete	replaced_by:GO:0048513	releases/2026-07-26	obsolete
GO:0048739	GO:0055013	cardiac muscle cell development	biological_process	current		releases/2026-07-26	alternate_id
