go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:1903828	GO:1903828	negative regulation of protein localization	biological_process	current		releases/2026-07-26	mapped
GO:1903829	GO:1903829	positive regulation of protein localization	biological_process	current		releases/2026-07-26	mapped
GO:1903900	GO:1903900	regulation of viral life cycle	biological_process	current		releases/2026-07-26	mapped
GO:1903902	GO:1903902	positive regulation of viral life cycle	biological_process	current		releases/2026-07-26	mapped
GO:1903998	GO:1903998	regulation of eating behavior	biological_process	current		releases/2026-07-26	mapped
GO:1904058	GO:1904058	positive regulation of sensory perception of pain	biological_process	current		releases/2026-07-26	mapped
GO:1904263	GO:1904263	positive regulation of TORC1 signaling	biological_process	current		releases/2026-07-26	mapped
GO:1904289	GO:1904289	regulation of mitotic DNA damage checkpoint	biological_process	current		releases/2026-07-26	mapped
GO:1904290	GO:1904290	negative regulation of mitotic DNA damage checkpoint	biological_process	current		releases/2026-07-26	mapped
GO:1904293	GO:1904293	negative regulation of ERAD pathway	biological_process	current		releases/2026-07-26	mapped
