condition	feature_id	SSI	stability_level	stability_level_clean
des	RvY_00689-1	1	highly_stable	Highly stable
des	RvY_00690	1	highly_stable	Highly stable
des	RvY_00692-1	1	highly_stable	Highly stable
des	RvY_00693-1	1	highly_stable	Highly stable
des	RvY_00701-1	1	highly_stable	Highly stable
des	RvY_00702-1	1	highly_stable	Highly stable
des	RvY_00703-1	1	highly_stable	Highly stable
des	RvY_00704-1	1	highly_stable	Highly stable
des	RvY_00705-1	1	highly_stable	Highly stable
des	RvY_00707-1	1	highly_stable	Highly stable
des	RvY_00710-1	1	highly_stable	Highly stable
des	RvY_00711-1	1	highly_stable	Highly stable
des	RvY_00712-1	1	highly_stable	Highly stable
des	RvY_00714	1	highly_stable	Highly stable
des	RvY_00715-1	1	highly_stable	Highly stable
des	RvY_00716-1	1	highly_stable	Highly stable
des	RvY_00717-1	1	highly_stable	Highly stable
des	RvY_00721	1	highly_stable	Highly stable
des	RvY_00722-1	1	highly_stable	Highly stable
des	RvY_00724-1	1	highly_stable	Highly stable
des	RvY_00725-1	1	highly_stable	Highly stable
des	RvY_00726-1	1	highly_stable	Highly stable
des	RvY_00733-1	1	highly_stable	Highly stable
des	RvY_00734-1	1	highly_stable	Highly stable
des	RvY_00735-1	1	highly_stable	Highly stable
des	RvY_00736-1	1	highly_stable	Highly stable
des	RvY_00740-1	1	highly_stable	Highly stable
des	RvY_00744-1	1	highly_stable	Highly stable
des	RvY_00746-1	1	highly_stable	Highly stable
des	RvY_00749-1	1	highly_stable	Highly stable
des	RvY_00751-1	1	highly_stable	Highly stable
des	RvY_00752-1	1	highly_stable	Highly stable
des	RvY_00753-1	1	highly_stable	Highly stable
des	RvY_00758-1	1	highly_stable	Highly stable
des	RvY_00761-1	1	highly_stable	Highly stable
des	RvY_00763	1	highly_stable	Highly stable
des	RvY_00765	1	highly_stable	Highly stable
des	RvY_00766-1	1	highly_stable	Highly stable
des	RvY_00771-1	1	highly_stable	Highly stable
des	RvY_00773	1	highly_stable	Highly stable
des	RvY_00774-1	1	highly_stable	Highly stable
des	RvY_00776-1	1	highly_stable	Highly stable
des	RvY_00778-1	1	highly_stable	Highly stable
des	RvY_00783-1	1	highly_stable	Highly stable
des	RvY_00784-1	1	highly_stable	Highly stable
des	RvY_00787-1	1	highly_stable	Highly stable
des	RvY_00788-1	1	highly_stable	Highly stable
des	RvY_00789-1	1	highly_stable	Highly stable
des	RvY_00790-1	1	highly_stable	Highly stable
des	RvY_00791-1	1	highly_stable	Highly stable
des	RvY_00792-1	1	highly_stable	Highly stable
des	RvY_00793	1	highly_stable	Highly stable
des	RvY_00794-1	1	highly_stable	Highly stable
